Area,Selector / File / Location,Property / Rule,Current Value,Breakpoint,Notes,Disposition
CSS Base Cards,coach-fogarty-portfolio/styles.css:1823-1825 :: .gallery-card:hover img,hover transform,scale(1.02),hover-capable,Adds subtle card image zoom.,Keep
CSS Home Section,coach-fogarty-portfolio/styles.css:8343-8355 :: main#top #media,section variables and padding,--gallery-section-pad; --gallery-heading-gap; --gallery-grid-gap; --gallery-media-height; caption/title/arrow vars; overflow:hidden; padding !important,all,This is the primary Home Media source-of-truth block. --gallery-media-height appears unused because frames use aspect-ratio.,Change
CSS Home Section,coach-fogarty-portfolio/styles.css:8357-8370 :: main#top #media .section-label/h2,heading layout and typography,max-width: var(--content-wide); centered; h2 margin-bottom 0; clamp font-size,all,Locks section label and heading to content width.,Keep
CSS Home Section,coach-fogarty-portfolio/styles.css:8372-8379 :: main#top #media .gallery-grid,Home grid,"max-width:var(--content-wide); margin top; grid-template-columns repeat(3,1fr); gap var(--gallery-grid-gap)",desktop,Main visible card layout.,Keep
CSS Home Section,coach-fogarty-portfolio/styles.css:8381-8388 :: main#top #media .gallery-card,card sizing,min-width:0; border-radius:10px; overflow:hidden; box-shadow; background,all,Actual Home card surface.,Keep
CSS Home Section,coach-fogarty-portfolio/styles.css:8390-8396 :: main#top #media .gallery-media,media frame,aspect-ratio:4/3; width:100%; height:auto; border-radius:10px 10px 0 0,all,Actual thumbnail image frame sizing.,Keep
CSS Home Section,coach-fogarty-portfolio/styles.css:8398-8412 :: main#top #media .gallery-card-caption,caption row,display:flex; align-items:center; justify-content:space-between; padding vars; min-height 74px,all,Keeps title and arrow aligned below image.,Keep
CSS Home Section,coach-fogarty-portfolio/styles.css:8414-8423 :: main#top #media .gallery-card-title,caption type,font-family var(--font-heading); clamp size; line-height 1.05; max-width calc(100% - arrow space),all,Home card label typography.,Keep
CSS Home Section,coach-fogarty-portfolio/styles.css:8425-8430 :: main#top #media .gallery-card-arrow,arrow button icon,width/height var(--gallery-arrow-size); flex basis locked,all,Small circular arrow inside each card caption.,Keep
CSS Home Responsive,coach-fogarty-portfolio/styles.css:8433-8437 :: @media (max-width:1024px) main#top #media .gallery-grid,tablet grid,"repeat(2, minmax(0,1fr))",<=1024px,Two-column card grid.,Keep
CSS Home Responsive,coach-fogarty-portfolio/styles.css:8440-8449 :: @media (min-width:1600px),wide desktop tuning,--gallery-media-height:360px; grid max-width 2040px,>=1600px,Max-width is active; media-height variable appears unused.,Change
CSS Home Responsive,coach-fogarty-portfolio/styles.css:8452-8466 :: @media (max-width:900px),tablet variables,"smaller section padding, gap, caption padding, title size, arrow size",<=900px,Tightens Home Media for tablets.,Keep
CSS Home Responsive,coach-fogarty-portfolio/styles.css:8468-8485 :: @media (max-width:640px),mobile variables and grid,"one-column grid; max-width min(100%,430px); smaller caption and arrow",<=640px,Primary mobile card stack.,Keep
CSS Legacy/Overlap,coach-fogarty-portfolio/styles.css:9270-9965 :: older mobile gallery/media rules,"multiple mobile overrides for .gallery-grid, .gallery-card, .media-overlay",mobile,May still affect Home Media and modal due equal or broader selectors. Needs consolidation after redesign.,Archive candidate,
CSS Legacy/Overlap,coach-fogarty-portfolio/styles.css:19735-19820 :: late desktop heading locks,desktop section heading overrides,desktop,Late-file overrides can unexpectedly beat earlier Home Media typography rules.,Change,
CSS Legacy/Overlap,coach-fogarty-portfolio/styles.css:20028-20270 :: late responsive locks,section heading/layout rules,responsive,Broad section rules may affect Home Media typography and spacing.,Change,
CSS Overlay,coach-fogarty-portfolio/styles.css:1828-1841 :: .media-overlay,modal root,fixed inset 0; z-index 1000; display grid; place-items center; padding,all,Shared modal root used by Home gallery and other overlays.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:1843-1849 :: .media-overlay.is-gallery-overlay,overlay variables,--overlay-thumb-width:146px; --overlay-thumb-height:82px; --overlay-thumb-gap:12px; --overlay-strip-visible-count:6,desktop,Controls thumbnail sizing and visible count.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:1851-1853 :: .media-overlay[hidden],hidden state,display:none,all,Hides modal when closed.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:1855-1865 :: .media-overlay-panel,dialog panel,"width min(92vw,1180px); max-height 92vh; overflow-y auto; border; radius; background",all,Generic modal panel dimensions.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:1867-1873 :: .media-overlay.is-gallery-overlay .media-overlay-panel,gallery panel width,"width min(92vw,1250px); padding clamp(...)",all,Home gallery modal is wider than generic media overlay.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:1875-1888 :: .media-overlay-content,content grid,grid rows auto auto auto; gap var(--space-5),all,Generic content layout.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:1890-1903 :: .media-overlay.is-gallery-overlay .media-overlay-content,gallery content layout,grid rows auto auto 1fr auto; min-height 0,all,"Needed for title, viewer, caption, and thumbnails.",Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:1911-1918 :: .media-overlay h2,modal title typography,"font clamp(2.2rem,5vw,4.75rem); margin 0",all,Large editorial title inside modal.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:1920-1933 :: .media-overlay-viewer,main image stage,position relative; display grid; place-items center,all,Houses main image and large side arrows.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:1935-1945 :: .media-overlay-viewer img,main image sizing,max-height 64vh; max-width 100%; object-fit contain,desktop,Main modal image stays inside viewport.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:2084-2123 :: .media-overlay-strip-shell,thumbnail carousel layout,"grid columns 44px minmax(0,content width) 44px; gap 10px; align center",all,Creates left/right arrow gutters for thumbnail strip.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:2125-2140 :: .media-overlay-strip,thumbnail strip,display:flex; gap var(--overlay-thumb-gap); overflow-x:auto; scroll-snap-type:x mandatory,all,Actual scrolling strip. Scrollbars are visually suppressed/limited by later rules.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:2151-2178 :: .media-thumb,thumbnail button,fixed width/height vars; border-radius; border; overflow hidden; opacity,all,Thumbnail item sizing. JS one-image scroll uses this width plus gap.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:2180-2198 :: .media-thumb img,thumbnail image fit,object-fit:cover; object-position vars,all,Thumbnail crop can differ by item via JS item positions.,Keep
CSS Overlay,coach-fogarty-portfolio/styles.css:2209-2253 :: .media-overlay-close/.media-overlay-nav,overlay buttons,circular controls; positions; hover/focus states,all,Close button and main left/right arrows.,Keep
CSS Overlay Responsive,coach-fogarty-portfolio/styles.css:2255-2310 :: overlay responsive blocks,"panel width/padding, image height, thumb sizing",<=900 and <=640 approx,Early responsive overlay rules.,Keep,
CSS Overlay Responsive,coach-fogarty-portfolio/styles.css:20459-20592 :: late mobile overlay locks,high-specificity mobile modal sizing,mobile,Late lock section may override earlier overlay values. Document and consolidate later.,Change,
CSS Overlay Patch,coach-fogarty-portfolio/styles.css:21078-21094 :: .media-overlay-strip-shell .media-overlay-strip,late thumbnail-shell patch,grid-area:auto; min-height calc(var(--overlay-thumb-height)+14px); padding; mobile columns 34px/1fr/34px,all/mobile,Newest section-specific thumbnail arrow patch. Keep until merged into canonical overlay block.,Change
Assets,coach-fogarty-portfolio/app.js:213-573 :: mediaAlbums item.src,image paths,assets/media-gallery/*.jpg and assets/archer-journey/*.png,all,Home Media uses locally hosted assets only.,Keep
Assets,coach-fogarty-portfolio/assets/media-gallery :: media-gallery folder,gallery images,jpg/png assets,all,Most Home Media images live here.,Keep
Assets,coach-fogarty-portfolio/assets/archer-journey :: archer journey folder,leadership-journey.png,all,Leadership card references this asset.,Keep,
Assets,coach-fogarty-portfolio/app.js:1640-1644 :: card thumbnail asset rule,first album item is thumbnail,all,Do not add separate thumbnail source unless design requires divergence.,Keep,
Docs/Audit,build-responsive-scaling-audit-workbook.mjs:63 :: old homepage gallery audit row,Historic measured card values,all,Reference-only historical audit data; not active CSS/JS.,Archive candidate,
Docs/Audit,outputs/home-media-section-spec-audit-2026-05-14 :: generated audit package,CSV/XLSX/README/Handoff,all,This package is the refreshed source-of-truth audit.,Keep,
